Clasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200- 1Hilo,200- 2Hilos,200- 4Hilos,200- 6Hilos,200- 8Hilos,400- 1Hilos,400- 2Hilos,400- 4Hilos,400- 6Hilos,400 -8Hilos,800- 1Hilos,800- 2Hilos,800- 4Hilos,800- 6Hilos,800 -8Hilos,1000- 1Hilos,1000- 2Hilos,1000- 4Hilos,1000- 6Hilos,1000 -8Hilos,1400- 1Hilos,1200- 2Hilos,1200- 4Hilos,1200- 6Hilos,1200 -8Hilos,1400- 1Hilos,1400- 2Hilos,1400- 4Hilos,1400- 6Hilos,1400 -8Hilos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248639,780593,622183,121154,545637,1317409,468749,916245,886558,102716,3807995,2043517,1181677,769760,817328,6876667,3064143,2039038,2039038,1835581,8648448,5122484,3662768,2904576,3580913,14413512,8147120,4444457,5784138,4835324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303830,826552,640186,135607,562927,657327,650365,1022956,959269,185716,4251902,1868627,1079937,1324203,1371705,7971290,2462990,1745534,1745534,2285599,9366661,4694062,2855640,3843174,3245924,14562706,7924458,4303034,5696050,5489421
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351237,855411,656138,151072,575636,989897,815387,109922,1032398,257435,3855865,2685620,912202,983272,936751,6497434,2835731,2453472,2453472,1504513,9468456,5126307,3735474,3527867,2818243,14722937,8787358,4684839,5455026,5087810
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412237,883613,672326,165268,591856,329940,1009013,200604,106117,327669,4494944,2504134,1913889,569578,1481261,7616440,3281842,2074204,2074204,1638747,9302493,5072155,3508647,2803983,3566265,14966505,8746290,5193358,5445469,4599390
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457797,928866,687712,179822,603752,662406,191809,308759,182167,409947,4371881,2337306,1908533,1199776,1030889,7263578,2946835,1387325,1387325,1851731,9403895,5026477,3393881,3835232,3294567,14155245,8973923,4806407,5674018,4923004
